Date,Open,High,Low,Close,Adj Close,Volume
2010-02-04,88.150002,88.449997,84.5,84.5,68.528282,2190450
2010-02-05,85.050003,85.050003,82.349998,83.300003,67.555099,1405967
2010-02-08,82.800003,84.0,79.25,80.400002,65.203232,6122455
2010-02-09,80.0,81.449997,79.150002,80.0,64.878838,1209971
2010-02-10,81.5,81.949997,79.800003,81.25,65.892578,1505087
2010-02-11,81.050003,83.099998,81.050003,81.550003,66.135864,976630
2010-02-12,81.5,82.449997,76.050003,77.449997,62.81081,6600492
2010-02-15,77.199997,79.400002,76.5,77.050003,62.486427,668018
2010-02-16,77.650002,80.099998,77.5,79.25,64.270599,1101834
2010-02-17,81.25,83.0,80.599998,82.949997,67.271233,1698522
2010-02-18,84.099998,84.800003,82.050003,83.5,67.717285,695866
2010-02-19,83.099998,83.293999,82.099998,83.050003,67.352341,1978300
2010-02-22,83.5,86.150002,82.800003,85.0,68.933762,4168389
2010-02-23,84.800003,85.5,83.290001,84.5,68.528282,1215800
2010-02-24,85.449997,85.599998,84.0,84.599998,68.609375,406769
2010-02-25,83.5,85.599998,82.0,83.0,67.311806,1110731
2010-02-26,84.099998,85.0,82.199997,84.849998,68.812111,1661707
2010-03-01,86.800003,86.800003,84.5,85.0,68.933762,1226235
2010-03-02,85.949997,86.150002,84.0,86.150002,69.866402,1307064
2010-03-03,86.0,90.199997,85.400002,87.599998,71.042328,1496224
2010-03-04,87.5,88.099998,85.800003,87.449997,70.92067,764019
2010-03-05,87.949997,88.5,87.370003,88.0,71.366737,1026381
2010-03-08,87.5,88.650002,86.400002,87.699997,71.123421,1099709
2010-03-09,88.349998,89.599998,83.800003,89.400002,72.502083,8521869
2010-03-10,88.699997,91.959,88.699997,91.099998,73.880768,3367589
2010-03-11,91.449997,91.529999,90.099998,91.300003,74.042976,3591810
2010-03-12,92.0,93.949997,91.0,93.050003,75.462189,3590048
2010-03-15,93.550003,95.349998,92.099998,92.650002,75.137802,1743793
2010-03-16,92.650002,99.25,92.650002,95.699997,77.611305,1493004
2010-03-17,97.0,99.650002,96.349998,99.099998,80.368645,1075464
2010-03-18,99.099998,100.800003,95.0,95.699997,77.611305,1546448
2010-03-19,95.25,97.650002,95.25,97.150002,78.787231,1252154
2010-03-22,97.400002,97.400002,93.050003,95.599998,77.530205,682924
2010-03-23,95.0,97.75,95.0,96.5,78.260094,858115
2010-03-24,96.199997,100.0,93.949997,94.449997,76.597565,3816919
2010-03-25,93.699997,98.5,93.0,97.050003,78.706123,1568516
2010-03-26,97.650002,98.099998,96.599998,97.0,78.665573,827088
2010-03-29,97.75,97.900002,95.0,95.300003,77.286919,617348
2010-03-30,96.650002,99.949997,94.349998,95.199997,77.205826,980220
2010-03-31,95.900002,96.699997,94.449997,95.449997,77.408562,2201226
2010-04-01,96.599998,99.050003,96.599998,98.400002,79.800964,736994
2010-04-06,99.349998,104.5,98.483002,100.099998,81.179649,3314843
2010-04-07,101.300003,101.400002,98.900002,99.099998,80.368645,2266008
2010-04-08,98.0,98.75,95.099998,96.900002,78.584488,4626566
2010-04-09,97.099998,98.599998,96.199997,96.75,78.462837,1060421
2010-04-12,96.699997,99.0,95.900002,97.400002,78.990005,7031057
2010-04-13,98.699997,102.0,95.900002,100.900002,81.828453,3284325
2010-04-14,101.699997,102.900002,99.699997,102.0,82.720528,2509615
2010-04-15,103.0,111.300003,103.0,109.5,88.802933,4657053
2010-04-16,108.400002,108.851997,106.0,106.699997,86.532143,2063849
2010-04-19,106.0,106.588997,104.0,105.099998,85.234566,1060158
2010-04-20,105.0,111.400002,104.5,109.5,88.802933,7728623
2010-04-21,110.199997,117.800003,108.599998,115.900002,93.993217,12228006
2010-04-22,115.300003,118.0,114.400002,117.0,94.885292,6239439
2010-04-23,116.199997,118.010002,115.5,117.0,94.885292,3089083
2010-04-26,118.900002,128.5,118.699997,124.800003,101.210999,11037547
2010-04-27,123.5,127.099998,119.400002,119.400002,96.831657,3187096
2010-04-28,117.599998,123.0,116.283997,120.599998,97.804855,3017227
